seed,algorithm,oracle_objective,policy_objective,optimality_gap,oracle_expected_miss_ratio,policy_expected_miss_ratio,oracle_replication_cost,policy_replication_cost,oracle_assignments,policy_assignments,search_nodes
0,ORDI,3.5272547785061175,3.4540751611248646,0.02074690431413813,0.00785714285714286,0.00785714285714286,0.0007142857142857145,0.09928571428571431,4.960714285714286,4.985714285714287,19966
0,seco_adapted,3.5272547785061175,3.4974939326123597,0.008437396151565267,0.00785714285714286,0.01428571428571429,0.0007142857142857145,0.0,4.960714285714286,4.985714285714287,19966
1,ORDI,3.4115008881272026,3.362377295277701,0.014399407902974023,0.01285714285714286,0.01285714285714286,0.049464285714285725,0.09928571428571431,4.942857142857144,4.985714285714287,111751
1,seco_adapted,3.4115008881272026,3.395586113467287,0.004665036059437294,0.01285714285714286,0.017857142857142863,0.049464285714285725,0.0,4.942857142857144,4.985714285714287,111751
2,ORDI,3.636388679647357,3.586146979809677,0.013816372303345818,0.014285714285714289,0.00785714285714286,0.0008928571428571432,0.09928571428571431,4.92857142857143,4.985714285714287,39758
2,seco_adapted,3.636388679647357,3.619450535632483,0.004657957525188567,0.014285714285714289,0.01928571428571429,0.0008928571428571432,0.0,4.92857142857143,4.985714285714287,39758
3,ORDI,3.481525047406867,3.4779925708019785,0.0010146348386950127,0.00785714285714286,0.016428571428571435,0.09750000000000003,0.09928571428571431,4.960714285714286,4.985714285714287,36823
3,seco_adapted,3.481525047406867,3.3902885579806084,0.026205897755701597,0.00785714285714286,0.02785714285714286,0.09750000000000003,0.0,4.960714285714286,4.985714285714287,36823
4,ORDI,3.6020019971106496,3.603603372982739,-0.0004445793959509079,0.006428571428571431,0.005714285714285716,0.0008928571428571432,0.05,4.967857142857143,4.985714285714287,25309
4,seco_adapted,3.6020019971106496,3.6458384549759444,-0.012170025974571431,0.006428571428571431,0.00785714285714286,0.0008928571428571432,0.0,4.967857142857143,4.985714285714287,25309
5,ORDI,3.6394183483524474,3.640862365604227,-0.00039677143806055856,0.00785714285714286,0.00785714285714286,0.09589285714285717,0.09875000000000003,4.960714285714286,4.985714285714287,41907
5,seco_adapted,3.6394183483524474,3.625519980658748,0.003818843112661389,0.00785714285714286,0.021428571428571432,0.09589285714285717,0.0,4.960714285714286,4.985714285714287,41907
6,ORDI,3.498999307860858,3.5673755569196994,-0.01954165835506944,0.00785714285714286,0.021428571428571432,0.09839285714285717,0.09928571428571431,4.960714285714286,4.985714285714287,60523
6,seco_adapted,3.498999307860858,3.4415243466745125,0.016426113905545024,0.00785714285714286,0.01285714285714286,0.09839285714285717,0.0,4.960714285714286,4.985714285714287,60523
7,ORDI,3.781854742524956,3.6836044310562626,0.025979398511508243,0.006428571428571431,0.017857142857142863,0.003035714285714286,0.09928571428571431,4.967857142857143,4.985714285714287,38180
7,seco_adapted,3.781854742524956,3.8104743342341636,-0.007567607340227967,0.006428571428571431,0.016428571428571435,0.003035714285714286,0.0,4.967857142857143,4.985714285714287,38180
