algorithm,sample_count,deadline_miss_ratio,contact_miss_ratio,compute_queue_miss_ratio,policy_miss_ratio,hard_fault_miss_ratio,source_fault_miss_ratio,delivery_latency_p50_s,delivery_latency_p95_s,isl_traffic_bits_per_delivered_tile,control_traffic_bits_per_delivered_tile,control_traffic_ratio,protocol_messages_per_delivered_tile,energy_j_per_delivered_tile,downlink_bits_per_delivered_tile,helper_utilization,active_helper_fraction,compute_load_balance,helper_request_count,helper_acceptance_ratio,state_age_mean_s,state_age_p95_s,deadline_miss_ratio_std,contact_miss_ratio_std,compute_queue_miss_ratio_std,policy_miss_ratio_std,hard_fault_miss_ratio_std,source_fault_miss_ratio_std,delivery_latency_p50_s_std,delivery_latency_p95_s_std,isl_traffic_bits_per_delivered_tile_std,control_traffic_bits_per_delivered_tile_std,control_traffic_ratio_std,protocol_messages_per_delivered_tile_std,energy_j_per_delivered_tile_std,downlink_bits_per_delivered_tile_std,helper_utilization_std,active_helper_fraction_std,compute_load_balance_std,helper_request_count_std,helper_acceptance_ratio_std,state_age_mean_s_std,state_age_p95_s_std
ORDI,8,0.03042295928228743,0.0,0.0012112403100775194,0.029211718972209914,0.0,0.0,205.7189142523849,502.2772523603063,146618149.94539788,86052.71532586298,0.0005690626237529555,72.91427961538366,1876.5807569373846,7128170.916184207,0.023483964453890005,1.0,0.8137191930369937,0.0,1.0,1058.2212960200352,2220.0,0.021050628238140592,0.0,0.0034259049476092407,0.0186714042803579,0.0,0.0,22.27075678646895,67.95140129815752,23529327.658177324,16531.66987559452,0.00012843763319732803,16.419899542772395,375.7341294899821,1947992.2418535964,0.006688020352849807,0.0,0.0534917240641653,0.0,0.0,216.47036833082174,995.762450157093
direct_downlink,8,0.4159472077068765,0.0,0.05865361452739605,0.3572935931794804,0.0,0.0,515.6512115067806,1982.193793169011,0.0,0.0,0.0,0.0,2771.2878046346714,52883514.563904196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06208606451466601,0.0,0.026163281798358543,0.0421352831885141,0.0,0.0,163.61738834494625,461.5522300020586,0.0,0.0,0.0,0.0,861.0984836483146,4576015.157079275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onboard_only,8,0.5325140727727442,0.0,0.07308702663672278,0.45706587629810747,0.002361169837914024,0.0,957.6898482800227,4109.461168453232,0.0,0.0,0.0,0.0,3648.927338922976,10798299.581478419,0.010739396532457408,0.5,0.30375452851529994,0.0,1.0,0.0,0.0,0.03902229787928808,0.0,0.02665702435968819,0.02268831186953512,0.0035849708425065487,0.0,166.24905393891913,1776.9314557792359,0.0,0.0,0.0,0.0,844.6766255362335,3104745.483773328,0.002480818010637696,0.04199605255658082,0.0529953776438909,0.0,0.0,0.0,0.0
seco_adapted,8,0.15809918612562532,0.0,0.021105689993384694,0.13693293411673677,6.056201550387597e-05,0.0,322.866697610901,2444.37722073768,187191005.74060634,166133.04357974915,0.0008595191870539413,94.90936971163373,2118.530573677637,7379964.546377448,0.020346332412106226,1.0,0.6505223980335779,5909.75,1.0,1042.8080454006897,2055.0,0.07303635167095486,0.0,0.007528421148280304,0.07321031797757187,0.00017129524738046208,0.0,57.74682212115652,1478.792618965143,18853861.58368505,16620.801901436404,0.00010411617182128099,18.504194921951605,450.62057048513003,2067584.4440183984,0.005395621156723185,0.0,0.03762200468555896,847.8958409750912,0.0,164.1372428096101,578.8412069446532
full_replication,8,0.20912115267987633,0.0,0.03361529292009092,0.17550585975978542,0.0,0.0,507.5140958485332,4213.0239238349495,72416919.69497743,104056.48925325982,0.001195567362761381,93.7760406381271,2421.014857451774,14912744.3058385,0.03249629123787825,0.9756944444444445,0.6480872653563163,3263.0,0.969368821677991,1101.6380919789492,2353.499999999998,0.03558616355797767,0.0,0.013720131054060941,0.03527122028991716,0.0,0.0,66.14843944113684,1752.235545943999,9007432.551010927,20534.311848982565,0.00018837496373291942,19.808012789044035,461.5157704512638,4157491.479379908,0.008068309816639339,0.03127754517943344,0.061257532428411095,297.83216750378057,0.024474354911336243,204.55885570240454,1275.301981044932
