algorithm,condition,run_index,deadline_miss_ratio,contact_miss_ratio,compute_queue_miss_ratio,policy_miss_ratio,hard_fault_miss_ratio,source_fault_miss_ratio,delivery_latency_p50_s,delivery_latency_p95_s,isl_traffic_bits_per_delivered_tile,control_traffic_bits_per_delivered_tile,control_traffic_ratio,protocol_messages_per_delivered_tile,energy_j_per_delivered_tile,downlink_bits_per_delivered_tile,helper_utilization,active_helper_fraction,compute_load_balance,helper_request_count,helper_acceptance_ratio,state_age_mean_s,state_age_p95_s
seco_adapted,,2,0.06113138686131387,0.0,0.00958029197080292,0.05155109489051095,0.0,0.0,358.6760486043604,1252.8513143586597,223359416.36262608,92040.583090379,0.0003970269661847885,26.90281827016521,1762.4392944684314,8465096.654307138,0.02964049762897832,1.0,0.8358585370366647,6949.0,1.0,1122.9737609329445,2280.0
seco_adapted,,3,0.0929054054054054,0.0,0.01266891891891892,0.08023648648648649,0.0,0.0,247.0993623818049,679.0836494463626,183977077.9820146,99633.10242085661,0.0005264689586284949,25.58752327746741,1563.6855262083566,5270741.453362846,0.025987500334318434,1.0,0.6995808802795027,7360.0,1.0,907.9329608938548,2160.0
seco_adapted,,4,0.10738636363636364,0.0,0.009659090909090909,0.08977272727272727,0.007954545454545454,0.0,225.34146234022228,1137.3878373100445,195508134.90655628,100017.61935073201,0.0004936212336588255,29.67154678548695,2071.9609637511608,7112037.263470031,0.020528596694037886,0.9722222222222222,0.7685833174028919,5407.0,1.0,1296.320814767664,2640.0
seco_adapted,,5,0.06,0.0,0.0155,0.0445,0.0,0.0,270.08392358849324,1143.0147127331154,227288469.15853578,108486.8085106383,0.00045965166790787657,33.431382978723406,2433.409206519961,8731143.267587828,0.014614129867377288,1.0,0.6406143518494144,6434.0,1.0,1080.7021276595744,2160.0
seco_adapted,,6,0.09422348484848485,0.0,0.019412878787878788,0.07481060606060606,0.0,0.0,269.6806104134157,5707.429707965213,201424955.07653672,104989.70831155253,0.000501631188764578,34.01150026136958,2620.979107154347,7871656.982458618,0.01382333955547875,0.9722222222222222,0.6220885729697299,6233.0,1.0,1189.5870360690017,2160.0
seco_adapted,,7,0.1078125,0.0,0.019270833333333334,0.08854166666666667,0.0,0.0,342.32879626292197,1326.6734053954879,182166338.9145767,89246.41214244017,0.0004687545352529831,30.718038528896674,2211.091688576713,8224164.921881274,0.018920100372808155,0.9722222222222222,0.7296239102900567,5570.0,1.0,1020.1751313485114,2160.0
full_replication,,0,0.17986641221374045,0.0,0.04007633587786259,0.13979007633587787,0.0,0.0,432.2750148005034,1752.7313837783522,56273818.31687958,29849.09365910413,0.0004458393270383644,21.902268760907504,1906.9133283442616,10676519.728412736,0.03555298306129542,0.9722222222222222,0.6510000823023745,3438.0,0.9738219895287958,1052.0767888307155,2160.0
full_replication,,1,0.23013565891472867,0.0,0.0436046511627907,0.18653100775193798,0.0,0.0,519.9589815830877,2502.6127133479104,55509502.851744615,28707.443675267463,0.00045389785551129915,21.381371932032724,2027.603032237223,7736981.630826006,0.04153132905597186,1.0,0.7012623176223273,3178.0,0.9153555695405916,1211.1013215859032,2400.0
full_replication,,2,0.21350364963503649,0.0,0.02874087591240876,0.18476277372262773,0.0,0.0,631.5529304825213,5538.889980830185,74927817.95925318,32030.29234338747,0.0003463367480135671,23.81090487238979,2226.563187475283,17555271.193425313,0.039642928537063575,1.0,0.7146337273061711,3448.0,0.95707656612529,1039.3503480278423,2160.0
full_replication,,3,0.17652027027027026,0.0,0.015625,0.16089527027027026,0.0,0.0,522.6915600812699,5431.888936170413,68605488.87661675,30094.572307692306,0.0003749632771072482,20.84307692307692,1886.84194063538,11654563.627363695,0.0419259980455186,0.9722222222222222,0.6345688624042262,3900.0,0.9543589743589743,982.7076923076924,2160.0
full_replication,,4,0.19829545454545455,0.0,0.010795454545454546,0.1875,0.0,0.0,487.3523838467918,2346.077566390164,69022288.06414942,34196.95535081503,0.0004088097449288438,25.41885187810064,2449.8307397128424,14627761.317054156,0.031056487161008325,1.0,0.6542827033621909,2822.0,0.940822111977321,1435.747696669029,2760.0
full_replication,,5,0.132,0.0,0.0345,0.0975,0.0,0.0,454.86820088614877,5342.266510305126,82600668.70565559,38121.58525345622,0.00037569135403055167,29.26094470046083,2769.653992924337,18869819.88683974,0.023497638172441566,0.9722222222222222,0.61404118257717,3472.0,0.9821428571428571,1150.7834101382489,2280.0
full_replication,,6,0.21022727272727273,0.0,0.04971590909090909,0.16051136363636365,0.0,0.0,418.5861942977954,5597.607090840769,68657311.67284775,40910.88729016786,0.0004721010397100012,31.709832134292565,3118.534480603503,17999746.560487874,0.020733641838768153,0.9444444444444444,0.5107280653608023,3336.0,0.9724220623501199,1234.9640287769785,2280.0
full_replication,,7,0.15520833333333334,0.0,0.025520833333333333,0.1296875,0.0,0.0,552.4331591556393,5499.513348542659,74498172.4590081,35367.77311960542,0.0003853114582527132,26.557336621454994,2475.8307535999056,17291916.732704584,0.029527943932592254,0.8611111111111112,0.6287817739498115,3243.0,0.9697810669133519,979.2355117139334,2280.0
