algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
ORDI@fault=0.00,0.002529761904761905,232.27497404737002,0.997470238095238,3.8292492537287894,110699100.4443018,38385319.99336779,388.81269273956747,4.134371096273321e-05,221.9158775871093,1.7341725246429573,0.05094483968241331,232.08489776460166,0.9490551603175867,0.012458318115182417,51.0914387514497,0.012458318115182417,3.4037742886439104,29103242.88503036,13273847.573752422,99.76389896735053,1.0632489803220366e-05,48.64399271318734,0.10297932045838283,0.01278638109267757,51.130571068613136,0.012786381092677572
B5_seco_like@fault=0.00,0.002529761904761905,207.64923643602222,0.997470238095238,3.831736296281553,139939479.3154806,38385319.99336779,229.29517329303508,2.421730458035536e-05,207.6469434842893,0.997470238095238,0.14628526984318205,207.29669230455144,0.8537147301568179,0.012458318115182417,45.45889204681301,0.012458318115182417,3.4037871929565835,31150144.73477221,13273847.573752422,55.60649944649181,5.881187695740332e-06,45.45845572744466,0.012458318115182417,0.016886044749345925,45.365037929498236,0.016886044749345918
B6_full_replication@fault=0.00,0.002529761904761905,233.69841784844837,0.997470238095238,3.831736296281553,279878958.6309611,38385319.99336779,456.6710805864018,4.843460916071072e-05,219.6438511376425,1.994940476190476,0.03769204721253592,233.81063011432346,0.9623079527874641,0.012458318115182417,51.16161913630159,0.012458318115182417,3.4037871929565835,62300289.46954442,13273847.573752422,110.78091876893915,1.1762375391480664e-05,48.23439952162221,0.024916636230364834,0.012408145659820218,51.53977306404361,0.012408145659820216
ORDI@fault=0.05,0.037649744505844226,227.27783866165132,0.9623502554941558,3.8261112817754785,110965178.85548896,34290275.49524061,379.78261321244844,4.039763885128725e-05,216.90216583551918,1.7000446055339384,0.08372772988798112,226.86912819161012,0.9162722701120188,0.04297162745685602,49.69337319195468,0.04297162745685602,3.491010792789927,29123381.439585563,12875349.513490368,95.43078782048399,1.0177250444209868e-05,47.24299923830692,0.11479683177358785,0.041937439548562966,49.99212284775864,0.041937439548562966
B5_seco_like@fault=0.05,0.07096332929053517,194.4194172084523,0.9290366707094648,3.435367942944073,130895960.7395692,36106914.05018163,214.69281823581218,2.2674309084137885e-05,194.41727028026995,0.9290366707094648,0.20859684434438888,193.25372696870815,0.791403155655611,0.1827795684300823,59.750987184104375,0.1827795684300823,3.580386110219253,40661514.33565812,15200210.904677527,70.05932726836467,7.402750861569515e-06,59.75036405567547,0.1827795684300823,0.1560966743010626,59.367300298329624,0.1560966743010626
B6_full_replication@fault=0.05,0.002529761904761905,233.69841784844837,0.997470238095238,3.831736296281553,279878958.6309611,38385319.99336779,466.2119419138034,4.843460916071072e-05,219.6437557290292,1.994940476190476,0.040366605293344,233.3548156939997,0.959633394706656,0.012458318115182417,51.16161913630159,0.012458318115182417,3.4037871929565835,62300289.46954442,13273847.573752422,113.45824929866832,1.1762375391480664e-05,48.23440528420823,0.024916636230364834,0.02158022836733779,52.08616253587395,0.021580228367337785
ORDI@fault=0.10,0.05428182578435047,224.87394813264268,0.9457181742156496,3.539518002266202,111617621.91229504,32777059.41921306,377.8789811059187,4.005926456905845e-05,214.48162767616498,1.6848325367048564,0.09739383834853121,224.72847288034825,0.9026061616514688,0.05146244262382038,49.96947856089528,0.05146244262382039,3.1244137165073176,28577089.602314405,12974213.986835836,96.72649070261681,1.0122984102839899e-05,47.544874943841606,0.1158756275043528,0.04764232549494974,49.89681351960756,0.04764232549494975
B5_seco_like@fault=0.10,0.12189554046171693,182.32312790788808,0.8781044595382831,3.7313653349010973,122476292.5504397,33983346.94027173,200.47459145456608,2.1170981350956808e-05,182.32112316197353,0.8781044595382831,0.24951437234131027,181.6644465134165,0.7504856276586898,0.2457335026820378,65.17830159529977,0.24573350268203778,3.9779317473633973,44397250.94418563,16525364.70468359,76.28484179557854,8.057159485427876e-06,65.17760326816872,0.24573350268203778,0.2097912139277514,64.4857582717325,0.2097912139277514
B6_full_replication@fault=0.10,0.002529761904761905,233.69841784844837,0.997470238095238,3.831736296281553,279878958.6309611,38385319.99336779,465.4024202687662,4.843460916071072e-05,219.64376382424567,1.994940476190476,0.037924773514012224,233.72317990502856,0.9620752264859878,0.012458318115182417,51.16161913630159,0.012458318115182417,3.4037871929565835,62300289.46954442,13273847.573752422,113.57625663378694,1.1762375391480664e-05,48.23442882763549,0.024916636230364834,0.01235312074866859,51.35880894795053,0.012353120748668584
ORDI@fault=0.20,0.09411989596980296,218.4909868827929,0.905880104030197,3.4679485566335138,112233757.12284829,28613094.502113998,372.46813072727565,3.8917284148786525e-05,208.12372053481897,1.6439621202209944,0.13338244929727214,218.3283382867721,0.866617550702728,0.05709955779715024,47.49142058401514,0.05709955779715023,3.1149035185437306,29258635.868245173,10457158.588133512,104.1712759404759,1.0054729889863927e-05,45.10258856513657,0.13955774763621007,0.055518367573373285,47.51717025110131,0.055518367573373285
