algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
ORDI@slack=150s,0.6363023943606062,84.59722336769758,0.3636976056393938,93.04068802717022,44816639.33318347,23429553.00510245,156.72486515052603,2.4933323866213206e-05,81.04565611904607,0.5710380635552831,0.6594570078543113,84.44980266449984,0.34054299214568867,0.10699989093800343,32.03090020441155,0.10699989093800343,38.05672091706071,17615964.323097024,9335033.626677215,69.81116365257179,1.1142744504784323e-05,30.492093361085075,0.18805567773672802,0.10140334145511874,31.8949795057155,0.10140334145511874
B2_onboard_only@slack=150s,0.6846283419081641,72.5402033010403,0.3153716580918358,85.64364894527299,0.0,20185855.849227477,89.57648554901883,1.4237267354127675e-05,72.53930753618481,0.3153716580918358,0.7156980399605677,72.64152821191664,0.2843019600394323,0.10756137375274483,32.40744538660606,0.10756137375274484,49.17160193709413,0.0,9900495.391033297,42.56194653888514,6.7798261181377275e-06,32.40711994569104,0.10756137375274484,0.09772248898734996,32.74974874029966,0.09772248898734999
B4_serval_like@slack=150s,0.6846283419081641,72.48631257523658,0.3153716580918358,86.04317481454228,0.0,20185855.849227477,89.57648554901883,1.4237267354127675e-05,72.4854168103811,0.3153716580918358,0.7156980399605677,72.58764398932148,0.2843019600394323,0.10756137375274483,32.384424900984634,0.10756137375274484,49.18535024205689,0.0,9900495.391033297,42.56194653888514,6.7798261181377275e-06,32.38409959547769,0.10756137375274484,0.09772248898734996,32.726614764682,0.09772248898734999
ORDI@slack=300s,0.43601980823853853,121.91366392245244,0.5639801917614615,140.64114831117453,67602386.22924642,32015121.007588528,231.1393531823696,3.678989410842621e-05,117.02072752892062,0.8493567748906362,0.4740489212228177,121.86531908905386,0.5259510787771823,0.11022342371950783,35.41024034463035,0.11022342371950782,50.527145625305586,25995416.58431187,12862688.99549685,91.7819587251261,1.4654976391575267e-05,33.77257788652548,0.18526117642459436,0.10463919944240178,35.70133951681601,0.10463919944240178
B2_onboard_only@slack=300s,0.5161164666975865,99.93398244047711,0.4838835333024135,153.43520013911967,0.0,28917315.61960323,134.7283974980066,2.1425304095458215e-05,99.93263515650213,0.4838835333024135,0.5639622917970768,99.8430478836855,0.4360377082029232,0.1179056611807891,37.94306342486601,0.1179056611807891,59.74338511509025,0.0,12225929.629170699,56.24837359645981,8.975101992320413e-06,37.94260659749654,0.1179056611807891,0.10677393820770156,38.081995593159625,0.10677393820770156
B4_serval_like@slack=300s,0.5161164666975865,99.86029983574653,0.4838835333024135,153.82596014361206,0.0,28917315.61960323,134.7283974980066,2.1425304095458215e-05,99.85895255177155,0.4838835333024135,0.5639622917970768,99.76939102775381,0.4360377082029232,0.1179056611807891,37.90987254425675,0.1179056611807891,59.740293307406475,0.0,12225929.629170699,56.24837359645981,8.975101992320413e-06,37.90941584935759,0.1179056611807891,0.10677393820770156,38.04897766001342,0.10677393820770156
ORDI@slack=450s,0.30958597377376473,141.1773054130091,0.6904140262262353,181.54393042107625,75572699.70581071,37062174.64796584,268.8173818006784,4.279329765805395e-05,135.8152422391911,1.0034453660015124,0.35753192945079315,141.28585859546695,0.6424680705492068,0.08498812838961925,35.65459899309442,0.08498812838961925,70.38994010551383,28188032.53911181,13280625.446584702,91.26005209132298,1.4579632412410035e-05,33.94556819995201,0.16795507101724724,0.08131000699546535,35.84394860543422,0.08131000699546535
B2_onboard_only@slack=450s,0.3857873507567246,117.08396667009895,0.6142126492432753,208.20948738266134,0.0,35169074.174343556,168.79427521424873,2.6851180154567196e-05,117.0822787273468,0.6142126492432753,0.4469384277989807,116.98974243042153,0.5530615722010193,0.10304249188681872,39.85437480272818,0.10304249188681872,82.72405626891148,0.0,12430366.859369993,56.31414482688317,8.986837947752869e-06,39.85395793685587,0.10304249188681872,0.09403441929861221,40.03758087545238,0.09403441929861224
B4_serval_like@slack=450s,0.3857873507567246,116.99849152349137,0.6142126492432753,208.60022033984325,0.0,35169074.174343556,168.79427521424873,2.6851180154567196e-05,116.99680358073923,0.6142126492432753,0.4469384277989807,116.90433897926918,0.5530615722010193,0.10304249188681872,39.819951406255136,0.10304249188681872,82.71518428580406,0.0,12430366.859369993,56.31414482688317,8.986837947752869e-06,39.819534699931864,0.10304249188681872,0.09403441929861221,40.00323577470566,0.09403441929861224
ORDI@slack=600s,0.22520697829556968,156.47543638092176,0.7747930217044303,195.4074738948699,83255292.26157969,39144947.381392665,298.6528254918753,4.756028568675891e-05,150.59432485266683,1.1171948606733744,0.2809865219706084,156.2947458508448,0.7190134780293915,0.06617930155858331,37.69995970070468,0.0661793015585833,65.13427218101982,33203467.548328873,13474088.471319187,97.71433511515659,1.560669194980504e-05,35.811884706205284,0.1592354951060475,0.06415115507291348,37.735289820311344,0.06415115507291348
B2_onboard_only@slack=600s,0.29890321580281287,130.31549303994043,0.7010967841971871,235.32276205550303,0.0,37263149.39551305,192.658739538586,3.0670586109312366e-05,130.31356645254505,0.7010967841971871,0.3692104719466494,130.0922300945912,0.6307895280533505,0.09519181948474749,42.09090416967867,0.0951918194847475,87.25920780290996,0.0,12764253.814726712,61.26403229379752,9.770463409976668e-06,42.090479924899434,0.0951918194847475,0.08643226335220579,42.22087991893408,0.0864322633522058
B4_serval_like@slack=600s,0.29890321580281287,130.22145709611735,0.7010967841971871,235.71271076910196,0.0,37263149.39551305,192.658739538586,3.0670586109312366e-05,130.21953050872196,0.7010967841971871,0.3692104719466494,129.99839695669596,0.6307895280533505,0.09519181948474749,42.05533334914486,0.0951918194847475,87.26787750818254,0.0,12764253.814726712,61.26403229379752,9.770463409976668e-06,42.05490927707207,0.0951918194847475,0.08643226335220579,42.18551930896895,0.0864322633522058
ORDI@slack=900s,0.12172763678325453,173.0252342358177,0.8782723632167455,215.4306781931259,86154122.56230043,41508027.269972816,323.72804513793903,5.156749976672088e-05,166.88762195536628,1.2352047817766505,0.18660374734018487,172.85605079902993,0.8133962526598152,0.0757152950048636,40.713048645050065,0.07571529500486361,54.21274211536744,36175328.84746097,13152095.142333195,104.90386339659374,1.676397809735514e-05,38.85343287942347,0.16204514465143982,0.07194801366518429,40.86874318700056,0.07194801366518429
B2_onboard_only@slack=900s,0.18073249876115713,146.83414222998837,0.8192675012388428,263.14668194910365,0.0,40285998.94449446,220.91651772477465,3.518875671578413e-05,146.83193306481112,0.8192675012388428,0.2617854695315534,146.82053275459475,0.7382145304684465,0.10043636653260668,43.86419263040552,0.10043636653260668,76.24581697522848,0.0,13489979.503532505,71.25670312358858,1.1374356249793864e-05,43.86364859734786,0.10043636653260668,0.09190933742018162,44.286210043983885,0.09190933742018162
B4_serval_like@slack=900s,0.18073249876115713,146.7300317955663,0.8192675012388428,263.52767276651156,0.0,40285998.94449446,220.91651772477465,3.518875671578413e-05,146.72782263038908,0.8192675012388428,0.2617854695315534,146.7164130891482,0.7382145304684465,0.10043636653260668,43.8242326880018,0.10043636653260668,76.24394143617101,0.0,13489979.503532505,71.25670312358858,1.1374356249793864e-05,43.823688821061694,0.10043636653260668,0.09190933742018162,44.24612603344432,0.09190933742018162
