algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
ORDI,0.4124677002583979,1310.9829208204958,0.587532299741602,635.4066845643137,202903125.3357428,29817598.966681898,278.87043581976525,0.0003019873134969981,1307.3738821161378,0.5991803940568475,0.47211833817829457,1311.2888607088837,0.5278816618217055,0.012036027197831757,232.89460168461358,0.01203602719783175,183.6405329820298,538665580.1653402,613635.5774421678,10.041759115330446,2.0069207854355222e-05,238.60078167430908,0.016637264577725214,0.017876375297264217,233.41321132820778,0.017876375297264255
B1_direct_downlink,0.4838501291989664,1241.997416418556,0.5161498708010336,641.6630438025154,0.0,1257105179.7150161,31.311001071319982,0.0,1241.9971033085453,0.0,0.5350025839793282,1216.182758779917,0.46499741602067185,0.2077849467541033,501.399740544321,0.2077849467541033,201.40839653407258,0.0,506090512.15649396,12.605310059981754,0.0,501.3996145284593,0.0,0.18732168506901045,491.22384947435677,0.18732168506901045
B2_onboard_only,0.48417312661498707,1216.8941467023756,0.5158268733850129,499.1863357639864,0.0,26180781.167548373,239.150576377883,0.000257941657350793,1216.8917551966117,0.5158268733850129,0.5352926356589147,1215.9202776919958,0.4647073643410853,0.20869732639405755,491.90239549151147,0.20869732639405758,201.74992792906127,0.0,10592387.347590638,96.75198126562957,0.00010531599290368207,491.901428225912,0.20869732639405758,0.18814045324310474,491.75200731762493,0.18814045324310474
B3_compression_only,0.48417312661498707,1241.8045437622964,0.5158268733850129,499.15962712862336,0.0,188447879.1014741,28.543562230407023,0.000257941657350793,1241.8042583266742,0.5158268733850129,0.5352926356589147,1215.9945242101285,0.4647073643410853,0.20869732639405755,501.9718679444967,0.20869732639405758,201.73913868053035,0.0,76246593.5934574,11.547878527657364,0.00010531599290368207,501.9717524963036,0.20869732639405758,0.18814045324310474,491.7820325244918,0.18814045324310474
B4_serval_like,0.48417312661498707,1216.3433264916644,0.5158268733850129,499.3900421852566,0.0,26180781.167548373,239.150576377883,0.000257941657350793,1216.3409349859007,0.5158268733850129,0.5352926356589147,1215.3699011389845,0.4647073643410853,0.20869732639405755,491.6797511371318,0.20869732639405758,201.83221602381911,0.0,10592387.347590638,96.75198126562957,0.00010531599290368207,491.67878387152524,0.20869732639405758,0.18814045324310474,491.52944132495895,0.18814045324310474
B5_seco_like,0.4664082687338501,614.6611569473118,0.5335917312661499,1170.5018813880654,1299728526.4787908,27079692.72958009,253.89940481970234,0.00026775729196479374,614.6586179532636,0.5335917312661499,0.5431828165374677,613.073070997152,0.4568171834625323,0.10659390125532765,224.0900445341708,0.10659390125532767,233.47886743859522,258756618.34487346,5404320.479414191,50.764032497237025,5.1849557330167244e-05,224.08954680683328,0.10659390125532767,0.08883716585751165,223.333928434029,0.0888371658575117
B6_full_replication,0.4263565891472868,781.2879218648673,0.5736434108527132,1091.241434542516,2794044763.695827,29114437.00992216,545.1993807644202,0.0005779022839572696,603.6824698710597,1.1472868217054264,0.44859625322997415,778.3967345939219,0.5514037467700258,0.013603193630629968,31.153086577314596,0.013603193630629971,31.127105843137247,66626152.54787475,683489.9265501578,12.758013413656188,3.198368560078934e-05,32.85029316099518,0.027206387261259943,0.010509111479035518,34.33486699641649,0.010509111479035495
B7_random_replication,0.4511668281653747,740.2149550989983,0.5488331718346253,1129.6547493845305,2725559957.2894645,27855570.016514786,522.3337884491095,0.0005527771244251006,570.2909817611137,1.0976663436692506,0.4774784802971576,735.3875348249971,0.5225215197028423,0.026800436539345274,21.977290865301082,0.026800436539345284,28.150233573880907,133944293.34024489,1360704.3538089267,25.465139603969593,3.597091807742426e-05,19.82619133910649,0.05360087307869057,0.027180274835338792,22.055288190182758,0.027180274835338778
B8_cocoi_like,0.4263565891472868,781.2879218648673,0.5736434108527132,1091.241434542516,2794044763.695827,29114437.00992216,545.1993807644202,0.0005779022839572696,603.6824698710595,1.1472868217054264,0.44859625322997415,778.3967345939219,0.5514037467700258,0.013603193630629968,31.15308657731463,0.013603193630629971,31.127105843137247,66626152.54787475,683489.9265501578,12.758013413656188,3.198368560078934e-05,32.850293160995186,0.027206387261259943,0.010509111479035518,34.33486699641649,0.010509111479035495
