seed,algorithm,oracle_objective,policy_objective,optimality_gap,oracle_deliveries,policy_deliveries,search_nodes
0,ORDI,2.473508205855745,2.473508074578621,5.307325197931765e-08,4,4,4141
0,seco_adapted,2.473508205855745,2.454149266261885,0.007826511166621555,4,4,4141
1,ORDI,2.442258874996444,2.3534996446392342,0.036343088468596116,4,4,1463
1,seco_adapted,2.442258874996444,2.3740399711023157,0.027932707950228106,4,4,1463
2,ORDI,2.3730559419401085,2.3730558139358324,5.394069048493535e-08,4,4,2388
2,seco_adapted,2.3730559419401085,2.3173654885585613,0.023467821553341508,4,4,2388
3,ORDI,2.462271864671479,2.365626875061789,0.039250332587699326,4,4,3212
3,seco_adapted,2.462271864671479,2.459731972531494,0.0010315238444735851,4,4,3212
4,ORDI,2.491687845237335,2.408612049112944,0.03334117324655402,4,4,2322
4,seco_adapted,2.491687845237335,2.4197682231191093,0.02886381705304473,4,4,2322
5,ORDI,2.4970580171438783,2.346079025407562,0.06046274884273831,4,4,1645
5,seco_adapted,2.4970580171438783,2.4634781275198026,0.013447781106217253,4,4,1645
6,ORDI,2.397747130360159,2.2750057172419886,0.051190307586661016,4,4,8045
6,seco_adapted,2.397747130360159,2.3906760960888374,0.002949032523817258,4,4,8045
7,ORDI,2.1980681777795965,2.1980680877467256,4.0959999260481736e-08,4,4,1972
7,seco_adapted,2.1980681777795965,2.14849793200791,0.022551732595374095,4,4,1972
