algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
no_fault,0.5332858448563372,40.13435929382414,0.4667141551436628,510.1214865932268,32252208.68018629,25117889.452571664,119.36963326913423,1.2620563474121845e-05,39.36129059749145,0.5235503016005734,0.5836912863489878,40.06333004436023,0.41630871365101224,0.13431162803001645,19.43225007694991,0.13431162803001648,135.06312983408955,17643016.41760882,10697677.276871206,40.07179600463831,4.247141558254162e-06,18.870442555960935,0.15751826638228372,0.11911336680963974,19.42913078519155,0.11911336680963973
isl_disruption,0.5913329401576685,35.208325309409055,0.4086670598423316,513.4047212330312,24624322.04201987,23272050.68749083,102.97104570972054,1.0881367061036253e-05,34.61354559895196,0.4513052978298343,0.6358136292075358,35.16761918446147,0.36418637079246413,0.10833138385934825,19.266276448609197,0.10833138385934825,132.57995833772475,13853701.121359305,10543809.133550532,33.67573324163957,3.566912842084038e-06,18.636260737754295,0.14083870392449585,0.09836149405480629,19.313793503170274,0.09836149405480629
plane_outage,0.6168209507883421,32.231301178872,0.3831790492116579,518.4760932187723,24624322.04201987,22530251.93829824,96.40342130103244,1.018150697109836e-05,31.636587144658993,0.4258172871991606,0.6589069565188116,32.204953744124396,0.34109304348118846,0.12266591544705631,18.894831445683128,0.12266591544705631,127.86811786623801,13853701.121359305,10617175.173716156,34.50421469602814,3.6561408316336548e-06,18.253487356970943,0.1527478637098306,0.11094460902545474,18.97938120802152,0.11094460902545474
helper_failure,0.6168209507883421,32.231301178872,0.3831790492116579,518.4760932187723,24624322.04201987,22530251.93829824,96.40342130103244,1.018150697109836e-05,31.636587144658993,0.4258172871991606,0.6589069565188116,32.204953744124396,0.34109304348118846,0.12266591544705631,18.894831445683128,0.12266591544705631,127.86811786623801,13853701.121359305,10617175.173716156,34.50421469602814,3.6561408316336548e-06,18.253487356970943,0.1527478637098306,0.11094460902545474,18.97938120802152,0.11094460902545474
straggler,0.5332858448563372,40.130823805406955,0.4667141551436628,510.1566305186564,32252208.68018629,25117889.452571664,218.22256212038835,1.2620563474121845e-05,39.35676657978575,0.5235503016005734,0.5843412085774946,40.00304556202351,0.41565879142250545,0.13431162803001645,19.430182046930696,0.13431162803001648,135.03839261304665,17643016.41760882,10697677.276871206,156.47828350231123,4.247141558254162e-06,18.867848279567777,0.15751826638228372,0.11860764866444115,19.413929882329864,0.11860764866444114
ground_miss,0.5332858448563372,39.937429095978054,0.4667141551436628,512.7777365932268,32252208.68018629,25117889.452571664,119.36963326913423,1.2620563474121845e-05,39.16436039964536,0.5235503016005734,0.5836912863489878,39.86857994791028,0.41630871365101224,0.13431162803001645,19.149420255359168,0.13431162803001648,135.78635297676152,17643016.41760882,10697677.276871206,40.07179600463831,4.247141558254162e-06,18.587095138537933,0.15751826638228372,0.11911336680963974,19.14956462294335,0.11911336680963973
downlink_adv,0.5332858448563372,40.11037540770626,0.4667141551436628,510.43418400866244,38931812.86102351,25117889.452571664,122.46983431819949,1.2945384165849072e-05,39.143525709363075,0.5378893745520783,0.5840119333893674,40.06637367275768,0.41598806661063253,0.13431162803001645,19.372903354632786,0.13431162803001648,134.98217462344405,19366470.193553593,10697677.276871206,42.66095420610753,4.518493186612138e-06,18.758187192419328,0.16060166375171142,0.11871072242334267,19.355716402890785,0.11871072242334267
battery,0.5332858448563372,40.53029280863852,0.4667141551436628,506.3092339185403,39739110.00713036,25117889.452571664,121.29870044328439,1.2819272982103748e-05,39.575954821634085,0.539137284251075,0.5845510502371936,40.46280756747473,0.41544894976280644,0.13431162803001645,19.706791643120265,0.13431162803001648,131.60107738886612,18849772.718464505,10697677.276871206,39.478891650583584,4.18624088900384e-06,19.049177954580447,0.16251596598034201,0.1189645725596493,19.72091631058864,0.1189645725596493
thermal,0.5332858448563372,40.53029280863852,0.4667141551436628,506.3092339185403,39739110.00713036,25117889.452571664,121.29870044328439,1.2819272982103748e-05,39.575954821634085,0.539137284251075,0.5845510502371936,40.46280756747473,0.41544894976280644,0.13431162803001645,19.706791643120265,0.13431162803001648,131.60107738886612,18849772.718464505,10697677.276871206,39.478891650583584,4.18624088900384e-06,19.049177954580447,0.16251596598034201,0.1189645725596493,19.72091631058864,0.1189645725596493
