algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
ORDI@1plane,0.5492351347590319,38.763172392964826,0.45076486524096815,509.1175874767667,30847733.56064269,24549270.407242384,115.1947468212755,1.2177725874074207e-05,38.01983294549661,0.505234693619644,0.5980888534201306,38.6966834662757,0.4019111465798694,0.12953310540714608,18.761588933116194,0.1295331054071461,131.6360897047045,16718757.755213587,10561576.022908535,38.47212601707307,4.077101738843279e-06,18.205688742173344,0.15228434008113134,0.11498233776915447,18.770307153360516,0.11498233776915447
ORDI@2planes,0.5651844246617265,37.3840438229962,0.4348155753382736,508.9088404037877,29327442.04548126,23980651.361913096,110.82933208221355,1.1714593978839765e-05,36.67772719634204,0.4865227994068307,0.6125391058312958,37.319544597843624,0.3874608941687043,0.12985692436674887,18.832260222688173,0.12985692436674887,132.5586321823374,16533105.09665235,10757154.93067751,38.17483515312823,4.045648151814527e-06,18.25134204970129,0.1546178790825142,0.11549413661839078,18.850839667789018,0.11549413661839078
B6_full_replication@1plane,0.5467645599906629,37.920304308626896,0.4532354400093371,593.078859321894,112830352.07127191,24631710.22124083,206.76124008630768,2.1904932457369916e-05,31.893236696226037,0.9064708800186742,0.5632581093661685,37.878149295436884,0.43674189063383156,0.128559330301494,17.761280162427635,0.12855933030149402,138.77361723889717,35801769.53653305,10505955.39824719,65.39891436632543,6.934881057212337e-06,16.370409593125178,0.25711866060298805,0.12369899084301075,17.73362175939982,0.12369899084301078
B6_full_replication@2planes,0.5602432751249887,37.244172304309586,0.43975672487501133,590.8200953736531,109059275.3434254,24145530.989909988,200.24431157945347,2.121312877093721e-05,31.39216986119379,0.8795134497500227,0.5766656579744495,37.17075607922245,0.4233343420255505,0.12789090896789349,18.34261897233884,0.12789090896789349,136.65260761839883,35544707.00103567,10653105.691011585,64.26451690742806,6.813536754329814e-06,16.93852060781145,0.25578181793578697,0.122886982751498,18.307346567604082,0.12288698275149801
B7_random_replication@1plane,0.5471971344627594,33.99289775560156,0.45280286553724053,711.944836608002,156545853.33013535,24597452.634317864,207.6671395252641,2.1884934633246752e-05,27.971550250872976,0.9056057310744811,0.5711998185212587,33.51439394437169,0.4288001814787414,0.12842154298418584,16.298901446144974,0.12842154298418587,176.57125418563197,47349110.04144258,10516595.6050192,65.77898156984683,6.943566447152757e-06,14.89022531304543,0.25684308596837174,0.12168457695219434,16.11807243094111,0.12168457695219435
B7_random_replication@2planes,0.562539340987231,32.84774182350844,0.437460659012769,712.0744706541404,150830139.62120134,24005165.399349216,200.41126036714203,2.1119074663097694e-05,27.026987710904773,0.874921318025538,0.5859407952687153,32.39760911381014,0.4140592047312846,0.12780896919557022,16.263531781109297,0.12780896919557022,174.59182679639312,47269306.050709516,10697897.951757062,64.95844333619985,6.8545763044034215e-06,14.870535194487976,0.25561793839114044,0.1209055867569264,16.105955956703156,0.1209055867569264
