algorithm,deadline_miss_ratio,delivered_utility,partial_coverage,recovery_latency,isl_traffic_bits,downlink_volume_bits,energy_joules,helper_utilization,objective,n_replicas_avg,realized_miss_ratio,realized_utility,realized_coverage,deadline_miss_ratio_std,delivered_utility_std,partial_coverage_std,recovery_latency_std,isl_traffic_bits_std,downlink_volume_bits_std,energy_joules_std,helper_utilization_std,objective_std,n_replicas_avg_std,realized_miss_ratio_std,realized_utility_std,realized_coverage_std
ORDI@lambda_R=0.0,0.6990358828296891,28.391736319093983,0.30096411717031096,666.1076599913387,65462092.952225745,24202648.744299825,144.17308716297705,2.2851886544246382e-05,28.390294588222353,0.480530282854984,0.7231483793190412,28.37369866263823,0.2768516206809588,0.10764674890297884,16.47187152718175,0.10764674890297884,237.76290776486456,32271719.31095666,10114759.347798342,59.55598961319134,9.452733465619929e-06,16.471532701998896,0.1803123828748401,0.09907859246636477,16.44202452379657,0.09907859246636479
ORDI@lambda_R=0.01,0.6990358828296891,28.126263894110494,0.30096411717031096,666.1076732451934,49745571.898981385,24202648.744299825,117.51003475033038,1.8602015036031955e-05,27.81008879376299,0.3952383433731699,0.7322897505888987,28.128290669732877,0.2677102494111013,0.10764674890297884,16.459592413628513,0.10764674890297884,237.76291454046765,22770178.518658206,10114759.347798342,45.944666154710745,7.298302569629686e-06,16.283572560989942,0.1487939560110353,0.09600522181451628,16.473168234406504,0.09600522181451626
ORDI@lambda_R=0.05,0.6990358828296891,27.570441218338534,0.30096411717031096,666.1077735281788,40605158.752112836,24202648.744299825,99.27691356588103,1.568592243825318e-05,27.006948449202877,0.3330059782072288,0.7366421076851658,27.59797957313648,0.2633578923148342,0.10764674890297884,16.203743723840162,0.10764674890297884,237.76282066284338,22773218.535511304,10114759.347798342,42.105190915779396,6.674681209583544e-06,15.684325671857945,0.12177928375064473,0.09484414054708522,16.292608222289864,0.09484414054708522
ORDI@lambda_R=0.1,0.6990358828296891,26.84030446665536,0.30096411717031096,666.1077735281788,34538899.05911959,24202648.744299825,90.59958320909683,1.4300784230972083e-05,26.83939847082327,0.30096411717031096,0.7390643363863963,26.798183065718746,0.2609356636136036,0.10764674890297884,15.506931506275487,0.10764674890297884,237.76282066284338,22869633.525325075,10114759.347798342,37.62520352976732,5.9526208646376225e-06,15.506746973257899,0.10764674890297884,0.09378481066769172,15.474616367910945,0.09378481066769172
ORDI@lambda_R=0.5,0.6990358828296891,26.84030446665536,0.30096411717031096,666.1077735281788,34538899.05911959,24202648.744299825,90.59958320909683,1.4300784230972083e-05,26.83939847082327,0.30096411717031096,0.7390643363863963,26.798183065718746,0.2609356636136036,0.10764674890297884,15.506931506275487,0.10764674890297884,237.76282066284338,22869633.525325075,10114759.347798342,37.62520352976732,5.9526208646376225e-06,15.506746973257899,0.10764674890297884,0.09378481066769172,15.474616367910945,0.09378481066769172
ORDI@lambda_R=1.0,0.6990358828296891,26.84030446665536,0.30096411717031096,666.1077735281788,34538899.05911959,24202648.744299825,90.59958320909683,1.4300784230972083e-05,26.83939847082327,0.30096411717031096,0.7390643363863963,26.798183065718746,0.2609356636136036,0.10764674890297884,15.506931506275487,0.10764674890297884,237.76282066284338,22869633.525325075,10114759.347798342,37.62520352976732,5.9526208646376225e-06,15.506746973257899,0.10764674890297884,0.09378481066769172,15.474616367910945,0.09378481066769172
ORDI@lambda_R=2.0,0.6990358828296891,26.84030446665536,0.30096411717031096,666.1077735281788,34538899.05911959,24202648.744299825,90.59958320909683,1.4300784230972083e-05,26.83939847082327,0.30096411717031096,0.7390643363863963,26.798183065718746,0.2609356636136036,0.10764674890297884,15.506931506275487,0.10764674890297884,237.76282066284338,22869633.525325075,10114759.347798342,37.62520352976732,5.9526208646376225e-06,15.506746973257899,0.10764674890297884,0.09378481066769172,15.474616367910945,0.09378481066769172
