condition,baseline,algorithm,metric,n,mean_diff,ci95_lo,ci95_hi,effect_size_dz,paired_t_pvalue,wilcoxon_pvalue
,ORDI,onboard_only,energy_j_per_delivered_tile,8,1745.5001895191622,1489.7034248837208,2132.8550704399536,3.582714903007388,1.9602582777971974e-05,0.0078125
,ORDI,onboard_only,downlink_bits_per_delivered_tile,8,3729042.569529863,2988374.794468967,4640399.213228868,2.901243406513813,7.746605946744683e-05,0.0078125
,ORDI,onboard_only,helper_utilization,8,-0.011478847824009271,-0.014365463141595522,-0.008925366028435787,-2.695112318624382,0.00012389741167068808,0.0078125
,ORDI,onboard_only,active_helper_fraction,8,-0.48263888888888884,-0.5069444444444444,-0.45138888888888884,-11.537639532601624,6.565816049167983e-09,0.0078125
,ORDI,onboard_only,compute_load_balance,8,-0.41340718930623277,-0.455355467343209,-0.3851819522379756,-7.778149831801914,1.0125625897611307e-07,0.0078125
,ORDI,onboard_only,helper_request_count,8,0.0,nan,nan,0.0,nan,nan
,ORDI,onboard_only,helper_acceptance_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,onboard_only,state_age_mean_s,8,-1069.1879016986904,-1187.5539070588557,-979.6843445202312,-6.880075319420911,2.360779503297686e-07,0.0078125
,ORDI,onboard_only,state_age_p95_s,8,-2291.999999999999,-2717.9999999999973,-2130.0,-5.883990098512482,6.9107418655947e-07,0.0078125
,ORDI,seco_adapted,deadline_miss_ratio,8,0.04356080286203223,0.02849222711174047,0.05970608401629801,1.7541111101832179,0.0016350495093019224,0.0078125
,ORDI,seco_adapted,contact_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,seco_adapted,compute_queue_miss_ratio,8,0.009854140598480552,0.005080670033090321,0.013931883474066044,1.437180737677931,0.004779541871135283,0.015625
,ORDI,seco_adapted,policy_miss_ratio,8,0.030956045632121093,0.01906551632563666,0.04384621442774153,1.599220996344828,0.0027214639030424905,0.015625
,ORDI,seco_adapted,hard_fault_miss_ratio,8,0.002750616631430585,0.0,0.008019511980267794,0.514386188555598,0.18902433397537008,0.5
,ORDI,seco_adapted,source_fault_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,seco_adapted,delivery_latency_p50_s,8,38.611879365589175,9.829250091755963,68.04847682634181,0.8529087035183827,0.04661009542420349,0.0546875
,ORDI,seco_adapted,delivery_latency_p95_s,8,967.3788723380128,340.2791139842336,2772.148131331614,0.5758829320736636,0.14736991201128444,0.0078125
,ORDI,seco_adapted,isl_traffic_bits_per_delivered_tile,8,59710620.3959534,51092840.55703068,67853473.2899136,4.49843194361205,4.28856715921152e-06,0.0078125
,ORDI,seco_adapted,control_traffic_bits_per_delivered_tile,8,71305.60752082006,66604.94309837726,73991.26752718506,13.10524722970037,2.703816493018469e-09,0.0078125
,ORDI,seco_adapted,control_traffic_ratio,8,0.00029236931861277403,0.0002723581929496477,0.00031651299447349316,8.567727938504012,5.186666253677863e-08,0.0078125
,ORDI,seco_adapted,protocol_messages_per_delivered_tile,8,11.905408041692183,11.699049733252224,12.168044342643018,32.78218897771899,4.47089982593684e-12,0.0078125
,ORDI,seco_adapted,energy_j_per_delivered_tile,8,89.53425163232757,58.38463028942314,129.56686677522066,1.62962927236101,0.002457040743032338,0.0078125
,ORDI,seco_adapted,downlink_bits_per_delivered_tile,8,-263148.10292623925,-441946.7297576299,-130725.00376724548,-1.0983311067044943,0.01716398940331026,0.015625
,ORDI,seco_adapted,helper_utilization,8,-0.00033060839266423037,-0.0008612022805688049,5.443545210076052e-05,-0.4671610230028432,0.22794046321013056,0.3828125
,ORDI,seco_adapted,active_helper_fraction,8,0.0069444444444444475,0.0,0.02777777777777779,0.35355339059327373,0.3506166628202074,1.0
,ORDI,seco_adapted,compute_load_balance,8,0.013581956895617878,-0.0031348711364834205,0.028337428357474735,0.5514158747045208,0.16280947672750806,0.1953125
,ORDI,seco_adapted,helper_request_count,8,6349.125,5891.076262972279,6795.375,9.11394171450476,3.379531481273893e-08,0.0078125
,ORDI,seco_adapted,helper_acceptance_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,seco_adapted,state_age_mean_s,8,-2.7115014323640168,-76.25107620641113,48.62012764388194,-0.02898959031006447,0.9369460296618229,0.9453125
,ORDI,seco_adapted,state_age_p95_s,8,-41.99999999999932,-272.99999999999727,75.0,-0.17481280080218525,0.6361297472386706,1.0
,ORDI,full_replication,deadline_miss_ratio,8,0.13801110240712997,0.11570979857698607,0.15668021362022275,4.409442685320747,4.906492042046666e-06,0.0078125
,ORDI,full_replication,contact_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,full_replication,compute_queue_miss_ratio,8,0.02648830601063663,0.019950021822689283,0.03486566579068421,2.354163751054069,0.00028822952057637783,0.0078125
,ORDI,full_replication,policy_miss_ratio,8,0.11170448244300497,0.08902823239181908,0.1272252431983688,3.8036993001742956,1.3186558812931272e-05,0.0078125
,ORDI,full_replication,hard_fault_miss_ratio,8,-0.0001816860465116279,-0.0007267441860465116,0.0,-0.3535533905932737,0.3506166628202074,1.0
,ORDI,full_replication,source_fault_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,full_replication,delivery_latency_p50_s,8,260.8526827958849,229.06117803923803,302.80766973928337,4.568925725772588,3.861525607065039e-06,0.0078125
,ORDI,full_replication,delivery_latency_p95_s,8,3563.64427023161,2302.736296963097,4439.169378558328,2.085621769863159,0.0006000673768714243,0.0078125
,ORDI,full_replication,isl_traffic_bits_per_delivered_tile,8,-70204861.14811367,-84618209.92539382,-62255829.60838868,-4.249953660693623,6.2852379522339454e-06,0.0078125
,ORDI,full_replication,control_traffic_bits_per_delivered_tile,8,5823.983030776931,4796.26032889944,6629.397288562312,4.133004068823212,7.578240122922658e-06,0.0078125
